country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66,7.08,7.48,7.19,7.98,8.04,7.46,7.2,7.7,8.03,7.35,6.25,6,7.98,7.69,8.7,7.74,7.42,6.3,4.61,4.07,6.8,4.38,4.72,4.09,3.73,5.11,5.48,5.65,5.92,6.5,6.87,6.85,6.3,5.87,6.43,6.75,5.76
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,,,6.01,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,1.39,,,,,2.11,,,,
UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,5.28,6.43,6.23,6.69,6.48,5.82,5.12,5.46,3.94,5.36,5.38,3.89,3.35,3.99,3.13,3.22,2.84,1.76,2.27,1.99,2.08,1.86,2.33,2.21,2.34,2.88,3.17,3.41,3.69,4.08,3.54,3,3.1,3,3.11,2.62,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76,5.65,5.25,5.7,6.83,5.04,5.42,,6.52,9.53,9.05,9.74,8.79,11.7,6.95,7.87,7.24,7.38,7.65,5.78,5.41,10.9
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,9.45,,,,,,2.84,,,,3.03,,,0.38,,2.73,,2.04,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,2.02,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.58,1.45,1.62,1.36,1.42,1.83,1.24,2.07,2.81,2.42,2.63,2.94,3.03,3.05,3.69,4.94,4.23,3.97,4.49,3.47,5.05,4.69,5.02,4.32,3.94,5.53,6.47,8.06,13.2,15.9,16.4,16.5,19,19.7,18.5,15.4,13
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,,,25,,17.6,,13.6,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.99,,0.66,,,,1.97,,,,,,0.63,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,5.34,,
