country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,3.94,5.02,3.3,5.06,6.56,8.17,10.8,13.4,14.9,16.2,19.1,20.2,19.6,17,15.6,13.1,12,11.9,13.5,18.4,19.8,17.9,17.6,16.1,13.7,10.8,9.48,7.35,7.86,8.27,8.33,7.13,6.35,6.41,10.1,17.6,19.6,21,24.6,25.6,23.6,20.8,18.1,15.7,13.7,12.4,13.9
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,1.42,3.88,6.46,7.23,10.4,10.6,11.2,10.4,12.9,15,13,11.3,12.1,11.6,9.15,6.23,5.38,5.76,16.7,19.3,13.1,10.9,9.09,7.86,6.24,7.42,6.19,5.41,4.07,6.97
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,2.72,,,,,,1.81,,,,,,,,1.65,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,3.77,2.57,2.83,3.11,2.52,1.48,2.27,4.42,7.08,8.21,6.6,4.77,5.23,5.38,5.54,5.25,5.34,5.98,5.71,4.93,3.15,3.48,7.82,13.3,17.8,17.8,17.8,15.6,14.8,12.9,11,10.3,9.86,10.7,11,10.2,8.17,7.38,6.54,6.07,8.89,9.09,8.41,8.28,8.82,9.33,9.88,9.04,8.87,7.42,7.18,8.01
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,,,,,,,,,,,,,,4.8,,,,,,,,4.1,3.33,,,,,,4.29,,,4.93,,3.7,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,0.88,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.7,1.59,1.71,2.86,3,3.45,3.79,4.2,4.23,5.28,5.99,6.09,7.64,8.49,8.68,8.65,8.17,7.31,7.17,7.16,8.09,9.61,11,9.98,10.6,11,10.3,10.3,8.53,7,7.77,7.59,8.08,7.81,7.86,7.27,6.72,8.68,8.69,8.53,9.44,10,10.5,10.8,10.2,9.44,8.98,8.47,8.06
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,,,,12.5,,,,,14.4,,,,,,,,,,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.4,2.6,3.1,4.7,6.3,8,8.3,8.8,8.4,6.2,3.6,2.3,2.6,4.71,5.4,,,,4.29,,,1,0.8,1.72,0.7,1,1.3,1.8,2.8,1.7,1.8,,,3.77,,3.36,2.59,,3.03,,,,
UK,,,,,,,,,,,,,,,,,,,,,,,,4.5,5,3.5,3.6,5.4,7,7.3,7,6.5,8.3,12.9,13.1,12,11.5,11.8,11.9,11.4,9.28,7.62,7.24,9.43,11.6,12.4,11.4,10.1,9.66,8.08,6.88,6.78,6.14,5.18,5.61,5.43,4.94,5.14,5.69,5.52,6.06,8.49,8.57,8.64,8.32,7.95,6.36,5.45,4.92,4.43,4.05,3.92,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,15.3,11.1,11.6,14,11.5,13.4,14.8,15.2,13.9,18.1,22.1,22.5,21.6,20.8,22.1,19.9,18.7,19.9,15,13.9,12.8,20.2
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,3.7,,,,,,7.5,9.4,10.2,,,,,,4.5,,,,4.91,,,1.97,,7.04,,4.07,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71,,,,,,,,,,,,,,,,,4.98,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,25.7,25,25.3,23.2,21.2,23.4,22.6,24.6,21,22,24.2,19.2,,20.3,21.4,19.1,20.4,23.8,,,22.2,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,,,,,,8.88,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,4.79,5.81,5.98,5.64,5.04,5.12,4.84,4.58,4.25,4.76,4.91,5.67,6.01,6.2,6.02,6.23,7.11,7.69,7.44,6.91,6.43,6.03,6.41,6.22,5.69,5.24,5.13,6.97,10,15.1,21.5,24.5,23.6,21.7,19.9,17.8,15.4,14,13.5
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,18.5,,9.98,,10.6,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,11.9,13.4,10.6,12,11.3,9.76,11.9,12,10.4,10,,,,7.8,9.2,9.6,10.1,10.3,8.9,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,2.29,,,,,1.83,,1.55,,,,,,,,,,,,,,2.46,2.75,,1.54,,,,3.3,2.86,2.37,2.67,2.36,1.99,2.12,1.93,2.01,1.82,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.5,3.8,4.7,5,,6.3,6.02,10.5,9.2,8.4,,9.4,22.3,8.2,,,,,,22.2,23.9,22.8,21.2,23,19.8,20.5,22.6,23.8,23.9,,15.7,15.7,17.6,17.1,18.7,16.7,,,21.4,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,7.82,,,,8.4,7.9,9.4,9.34,,,5.67,,,,,,3.94,,,,,,,,,,12.8,,7.6,6.4,7.2,7.1,,8.8,7.3,11.2,11.9,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47,,,,,10.4,,,,,,,,,,10.3,,,,,,,,,,,,,,,,12.3,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21,5.4,4.4,1.4,2.04,2.29,1.55,1.83,2.11,1.85,3.49,2.99,1.71,1.35,1.08,1.32,1.94,2,1.97,2.02,3.39,3.12,2.31,4.96,6.7,5.56,5.97,8.35,9.17,7.69,6.54,5.63,4.53,4.05,6.07,5.06,3.99,3.77,3.8,3.57,3.44,3.69,3.39,3.2,3.56,6.92
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,8.6,,,,13,12.2,,,4.31,4.28,3.12,,,3.17,4.35,3.32,3.84,3.98,,3.96,3.63,4.65,4.79,4.07,3.13,2.63,2.77,2.74,3.37,3.45,3.01,4.56,5.68,4.41,5.3,4.04,4.62,4.22,8.79
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,9.33,9.35,,,15,14.1,13.2,12.5,12.3,11.6,9.81,8.75,7.04,7.92,11,13.6,15.9,17.7,16.4,15.6,12.5,10.6,7.64,6.15,7.45
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,11.2,,,,,,,,,6.2,,,,,,,,14.9,,,,,11.5,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,9.2,11,13.5,12.1,11.3,10.8,9.87,9.59,7.5,7.19,6.32,6.05,6.13,5.81,6.99,7.14,7.13,7.66,10.3,11.6,11.1,11.3,10.2,7.57,6.62,5.12,3.81,3.48,3.36,4.06
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.37,2.89,,1.37,,2.57,,,2.15,2.61,2.63,2.76,,2.46,2.39,2.59,2.63,3.88,,4.22,4.09,5.04,6.03,5.68,5.3,5.89,5.71,6.24,6.78,6.59,6.95,6.66,5.74,5.13,4.9,4.27,4.38,4.15,4.57,4.57,3.97,4.52,3.77,4.61
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,2.85,,,,,2.23,,,,,2.17,,2.4,,,,,,5.34,5.37,4.78
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,16,17.3,17.3,17.6,17,15.9,13.6,15.3,14.9,15.4,14.5,11.9,11.7,10.2,7.94,5.93,4.35,3.78,4.55,4.82,4.96,4.59,4.56,5.02,7.6,15.1,17.1,17.7,17.7,14.8,12.7,10.7,9.02,7.07,5.78,5.17,5.6
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,9.5,,,,,8.5,,,,,,11.2,,9.8,10.3,10.3,9.48,9.27,11,12.1,10.7,10.6,8.75,8.91,9.39,10.7,10.3,10.5,9.1,8.47
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86,,,,,7.19,,8.44,,8.49,10.3,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,3.8,4.96,5.14,5.45,3.73,3.64,2.43,1.64,1.32,1.56,3.29,4.02,5.15,2.6,2.64,2.24,3.25,8.56,8.31,7.77,6.31,5.65,5,3.91,2.92,2.76,2.85,3.84,5.64
